date,jackpot_eur,delta_from_prev_eur,jackpot_won,jackpot_winners,numbers
2020-06-10,1000000,0,True,1,8 11 18 24 27 37 45
2020-06-14,695661,-304339,False,,9 12 17 20 28 45 5
2020-06-17,1499154,803493,True,1,3 11 12 16 28 39 43
2020-06-19,625001,-874153,False,,1 7 13 39 44 45 9
2020-06-21,1272298,647297,False,,4 15 30 35 38 45 42
2020-06-24,2134106,861808,False,,10 17 18 25 29 36 37
2020-06-28,1641680,-492426,True,2,10 16 28 31 36 37 33
2020-07-01,630374,-1011306,False,,1 3 15 22 27 32 23
2020-07-05,1529890,899516,True,1,1 3 5 6 35 42 9
2020-07-08,623688,-906202,False,,4 16 26 31 34 40 42
2020-07-12,1501733,878045,False,,8 17 18 33 42 45 32
2020-07-15,2431972,930239,False,,11 15 18 21 32 44 31
2020-07-19,3661597,1229625,False,,4 11 16 32 41 45 21
2020-07-22,5014263,1352666,True,1,3 6 9 22 24 38 20
2020-07-26,739483,-4274780,False,,1 3 7 26 27 35 21
2020-07-29,1519795,780312,True,1,23 24 31 35 36 42 14
2020-08-02,724383,-795412,False,,16 17 18 23 26 44 34
2020-08-05,1543694,819311,False,,3 30 32 34 37 39 18
2020-08-09,2551483,1007789,False,,3 4 17 23 25 32 36
2020-08-12,3651416,1099933,False,,1 16 18 23 27 45 15
2020-08-16,2500168,-1151248,True,2,5 26 31 32 37 41 23
2020-08-19,652750,-1847418,False,,5 9 15 33 34 42 38
2020-08-23,1539386,886636,True,1,3 12 19 26 32 40 24
2020-08-26,614156,-925230,False,,3 4 8 14 31 38 13
2020-08-30,1507513,893357,True,1,17 22 27 35 36 39 21
2020-09-02,650112,-857401,False,,11 21 34 37 40 43 19
2020-09-06,1555863,905751,False,,4 11 15 34 36 39 44
2020-09-09,2473805,917942,False,,7 11 18 22 26 34 27
2020-09-13,3660980,1187175,False,,20 22 30 34 40 43 39
2020-09-16,4966216,1305236,False,,3 8 18 23 32 41 21
2020-09-20,6700911,1734695,True,1,5 6 14 19 26 30 11
2020-09-23,500000,-6200911,True,2,4 8 11 21 39 45 14
2020-09-27,731813,231813,False,,3 6 8 11 32 39 27
2020-09-30,1533324,801511,False,,2 7 11 22 28 39 40
2020-10-04,2573740,1040416,True,1,10 14 16 27 30 40 38
2020-10-07,1000000,-1573740,True,1,3 7 9 13 17 26 18
2020-10-11,1000000,0,True,1,5 16 18 24 34 42 20
2020-10-14,620082,-379918,False,,4 7 9 10 19 42 8
2020-10-18,765055,144973,True,2,10 15 22 35 43 45 2
2020-10-21,1000000,234945,True,1,3 11 19 25 28 38 34
2020-10-25,726546,-273454,False,,1 3 5 10 39 40 19
2020-10-28,1446969,720423,True,1,4 8 10 15 18 35 42
2020-11-01,1000000,-446969,True,1,1 4 5 8 28 29 39
2020-11-04,618587,-381413,False,,6 17 26 28 36 45 11
2020-11-08,1510489,891902,False,,18 28 31 35 44 45 26
2020-11-11,2453597,943108,False,,7 16 20 31 38 41 1
2020-11-13,3501068,1047471,False,,1 4 5 24 42 45 26
2020-11-15,4528208,1027140,False,,12 16 29 34 35 45 22
2020-11-18,3047867,-1480341,True,2,7 16 25 30 33 39 26
2020-11-22,500000,-2547867,True,2,18 22 36 40 42 45 2
2020-11-25,1000000,500000,True,1,10 13 15 26 33 39 35
2020-11-29,749657,-250343,False,,5 15 26 32 33 35 30
2020-12-02,1581235,831578,True,1,11 14 24 27 28 34 23
2020-12-06,798355,-782880,False,,4 10 12 20 40 41 2
2020-12-09,1596571,798216,False,,1 4 6 9 23 42 41
2020-12-13,2674182,1077611,False,,17 19 22 24 29 43 1
2020-12-16,3851131,1176949,False,,5 11 12 19 21 41 42
2020-12-20,5372211,1521080,False,,10 12 16 27 39 42 45
2020-12-23,7386953,2014742,False,,7 12 23 24 31 38 22
2020-12-27,9165954,1779001,True,1,16 18 19 24 28 32 42
2020-12-30,831707,-8334247,False,,3 6 14 35 40 42 11
2021-01-03,1799701,967994,True,1,4 5 12 16 26 40 39
2021-01-06,712360,-1087341,False,,10 13 18 30 39 45 28
2021-01-08,1570884,858524,False,,4 20 22 24 27 29 31
2021-01-10,2457106,886222,True,1,4 5 8 18 29 34 23
2021-01-13,691245,-1765861,False,,6 8 23 28 32 44 35
2021-01-17,1675627,984382,False,,4 5 14 17 32 33 27
2021-01-20,2692391,1016764,False,,5 14 20 24 27 42 45
2021-01-24,4021756,1329365,False,,5 10 17 27 31 42 2
2021-01-27,5463672,1441916,False,,4 5 17 21 27 42 2
2021-01-31,7379363,1915691,False,,3 5 25 27 28 40 43
2021-02-03,5001911,-2377452,True,2,12 22 23 26 32 34 14
